,,,,USD,,,,
,,,,,,,,
Item name,What the item is for in your project,Item source,Item price (include taxes),Quantity,Total Price (include shipping + taxes),URL,,
,,,,,,,,
,,,,,149.96,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Already Have,,,,,,,,
,,,,,,,,
Lipo Battery,Power Robot,Amazon,,,,,,
L293D,Motor Driver,Amazon,,,,,,
M3 - 8mm Bolts,,Aliexpress,2.36,1,2.36,https://www.aliexpress.com/item/32810872544.html?spm=a2g0o.productlist.main.1.54333835xzJnnA&algo_pvid=45ff9353-ced8-41f9-b092-e8968109dd0c&algo_exp_id=45ff9353-ced8-41f9-b092-e8968109dd0c-0&pdp_ext_f=%7B%22order%22%3A%2217381%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%212.05%212.05%21%21%211.47%211.47%21%402103247017510540605297994ec51a%2112000037536050510%21sea%21CA%212816579118%21X&curPageLogUid=oOIFvvG6w4lK&utparam-url=scene%3Asearch%7Cquery_from%3A,,
M4 - 40mm Bolts,,Aliexpress,4.34,1,4.34,https://www.aliexpress.com/item/32810872544.html?spm=a2g0o.productlist.main.1.54333835xzJnnA&algo_pvid=45ff9353-ced8-41f9-b092-e8968109dd0c&algo_exp_id=45ff9353-ced8-41f9-b092-e8968109dd0c-0&pdp_ext_f=%7B%22order%22%3A%2217381%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%212.05%212.05%21%21%211.47%211.47%21%402103247017510540605297994ec51a%2112000037536050510%21sea%21CA%212816579118%21X&curPageLogUid=oOIFvvG6w4lK&utparam-url=scene%3Asearch%7Cquery_from%3A,,
M3 - 4mm Bolts,,Aliexpress,1.94,1,1.94,https://www.aliexpress.com/item/32810872544.html?spm=a2g0o.productlist.main.1.54333835xzJnnA&algo_pvid=45ff9353-ced8-41f9-b092-e8968109dd0c&algo_exp_id=45ff9353-ced8-41f9-b092-e8968109dd0c-0&pdp_ext_f=%7B%22order%22%3A%2217381%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%212.05%212.05%21%21%211.47%211.47%21%402103247017510540605297994ec51a%2112000037536050510%21sea%21CA%212816579118%21X&curPageLogUid=oOIFvvG6w4lK&utparam-url=scene%3Asearch%7Cquery_from%3A,,
